date,title,location,category,zone,state,approved,verified
1/24/11,UNILAG STUDENTS PROTEST LAPSES IN VOTERS REGISTRATION EXERCISE AT INEC OFFICE.,"Lagos, Nigeria","Peace Events, ",1,25,1,1
1/24/11,voter registration malpractice,Akoko-edo,"Voters or Members of public, ",1,12,2,2
1/25/11,Jos Crises: Women clash with Solider in Jos.,jos,"Unable to determine impact, Voters or Members of public, Physical harm, Group clash, Government or State actor, ",6,32,1,1
1/27/11,ISARA STUDENTS PROTEST ASSAULT OF FELLOW STUDENT BY A POLITICIAN.,"ISARA, OGUN STATE","Transportation disrupted, Political Party actor, Physical harm, Voter or member of the public, ",1,28,1,1
1/29/11,fight breaks out at Voter registration centre in Onitsha.,"Onitsha, Anambra","Other Impact, Voters or Members of public, Physical harm, Voter or member of the public, ",3,4,1,1
1/30/11,Hijab women defiant of Registration Rules in Osun state.,"osobgo, osun","Other Impact, Voters or Members of public, Physical harm, Voter or member of the public, ",1,30,1,1
2/2/11,Slow pace of registration results in fracas at Registration Centre.,"Onitsha, Anambra","Other Impact, Voters or Members of public, Physical harm, Voter or member of the public, ",3,4,1,1
2/4/11,unidentified men destroy APGA poster/bill board in Nnewi,"nnewi, anambra","Unable to determine impact, Unable to Determine, Property damage, Campaign material, ",3,4,1,1
2/5/11,INEC registration officer gets beaten in Nnewi,"nnewi, anambra","Other Impact, Voters or Members of public, Physical harm, Election worker, ",3,4,1,1
2/5/11,Gunmen Snatch DDCM in Borno state.,Maiduguri,"Other Impact, Other perpetrator, Intimidation, Other type of violence, Election worker, ",5,8,1,1
2/7/11,ANPP OFFICE BURNT DOWN BY PDP SUPPORTERS IN ZAMFARA.,"anka, zamfara","Economic loss, Other Impact, Party agent, Property damage, Political party office or property, ",4,37,1,1
2/8/11,workshop for greater women participation in elections held in Girei,"girei, adamawa","Civic Education Events, ",5,2,1,1
2/10/11,Youth in Niger state march for peaceful Elections in Nigeria.,"minna, Niger state","Peace Events, ",6,27,1,1
2/10/11,Unidentified persons attack APGA supporter after Part convention in Awka.,"awka, Anambra","Other Impact, Party agent, Physical harm, Group clash, Party agent, Voter or member of the public, ",3,4,1,1
2/15/11,Catholic Women Organisation call for violence free 2011 elections.,akure,"Peace Events, ",1,29,1,1
2/15/11,4 members of ANPP were beaten and abducted by PDP thugs in Ebonyi State.,"Uburu,  Ebonyi State, Nigeria","Other Impact, Party agent, Physical harm, Kidnapping / detention, Party agent, ",3,11,1,1
2/15/11,PDP thugs attack ANPP member in Ebonyi.,"abakaliki, ebonyi","Party agent, Group clash, Party agent, Campaign material, ",3,11,1,1
2/20/11,PDP thugs destroy property belonging to opposition candidate in gombe,"tumu, gombe","Economic loss, Party agent, Intimidation, Property damage, Political party actor, Private property, ",5,16,1,1
2/21/11,ILARO ANGRY YOUTHS FROM OGUN WEST STORM ACN STATE OFFICE,"ILARO, OGUN","Unable to determine impact, Party agent, Voters or Members of public, Physical harm, Group clash, Political party actor, ",1,28,1,1
2/23/11,Supporters of 2 ACN Canditates clashed .,"Benin City, Edo State, Nigeria","Campaign event disrupted, Political Party actor, Party agent, Physical harm, Group clash, Political party actor, Party agent, ",2,12,1,1
2/25/11,PRESIDENT GOODLUCK CANCELS VISIT OGUN AMIDST TENSION IN OGUN PDP,Abeokuta,"Campaign event disrupted, Political Party actor, Political party actor, ",1,28,1,1
2/25/11,COMMUNITY DEVELOPMENT INITIATIVES VISIT INEC IJEBU ON ADVOCACY CAMPAIGN...,"IJEBU, OGUN STATE","Peace Events, ",1,28,1,1
2/27/11,FOMWAN organises civic and voter education in Ebonyi,ebonyi state,"Civic Education Events, ",3,11,1,1
2/28/11,Governor Ibrahim Idris  billboard set ablaze in lokoja.,Lokoja,"Unable to determine impact, Unable to Determine, Property damage, Campaign material, ",6,23,1,1
3/5/11,Nigeria Prays: North East Zone organises  prayer for Nation.,"bauchi, bauchi state","Peace Events, ",5,5,1,1
3/7/11,PDP state assembly candidate beaten up by police in Kogi,"ogaminana, kogi","Government or State actor, Physical harm, Political party actor, Party agent, ",6,23,1,1
3/8/11,Women Arise Awareness rally holds in Lagos,"ikeja, lagos","Civic Education Events, Peace Events, Voter or member of the public, ",1,25,1,1
3/10/11,Three Coordinators kidnapped and a driver killed during PDP rally in Ebonyi,"Edda, Ebonyi State, Nigeria","Unable to determine impact, Unable to Determine, Murder, Physical harm, Kidnapping / detention, Political party actor, Government or State actor, ",3,11,1,1
3/10/11,"south south progressive union yola organised rally for free, fair and credible elections.","YOLA, ADAMAWA","Peace Events, Party agent, ",5,2,1,1
3/10/11,"ANPP,CPC and PDP supporters clash during PDP president campaign.",Gombe,"Political Party actor, Party agent, Group clash, Party agent, ",5,16,1,1
3/11/11,CPC presidential candidate addresses supporters,Yola,"Civic Education Events, ",5,2,2,2
3/11/11,CPC supporters in yola match to support  presidential candidate,"Mubi,  Adamawa State, Nigeria","Peace Events, ",5,2,1,1
3/11/11,CPC supporters in Yola matched through Damilu street,"Yola, Adamawa state, Nigeria","Peace Events, ",5,2,1,1
3/11/11,Gombe PDP youths destroy ANPP structures,Gombe,"Political Party actor, Group clash, Property damage, Political party office or property, ",5,16,1,1
3/11/11,"PDP,AC supporters clash during AC rally in Osun.",Osogbo,"Campaign event disrupted, Political Party actor, Party agent, Physical harm, Group clash, Political party actor, Party agent, ",1,30,1,1
